id	symbol
MS00759	SOX21
MS00762	SOX2
MS00766	SOX4
MS00769	SOX7
MS00770	SOX7
MS00771	SOX8
MS00774	SOX8
MS00778	EHF
MS00780	SOX9
MS00785	SOX9
MS00787	SRY
MS00788	SRY
MS00789	Egr3
MS00794	Sox10
MS00795	Sox11
MS00797	Sox17
MS00800	Sox1
MS00802	Sox1
MS00803	Sox3
MS00805	Sox3
MS00807	MSC
MS00808	TFEC
MS00811	RARB
MS00812	ELF3
MS00815	E2F1
MS00820	NFIA
MS00822	NFIX
MS00829	ESRRA
MS00834	ELF4
MS00836	HOXD12
MS00837	HOXD12
MS00838	ELF5
MS00843	GLI2
MS00844	ELK3
MS00846	ERF
MS00848	ERG
MS00851	ETS1
UP00000	SMAD3
UP00001	E2F2
UP00003	E2F3
UP00004	Sox14
UP00006	Zic3
UP00009	Nr2f2
UP00010	Tcfap2b
UP00011	IRF6
UP00012	Bbx
UP00014	Sox17
UP00018	Irf4
UP00019	ZBTB12
UP00020	ATF1
UP00021	Zfp281
UP00023	Sox30
UP00024	Glis2
UP00027	Osr1
UP00028	Tcfap2e
UP00030	Sox11
UP00031	Zbtb3
UP00033	Zfp410
UP00034	Sox7
UP00035	HIC1
UP00037	Zfp105
UP00038	Spdef
UP00040	Irf5
UP00041	Foxj1
UP00043	Bcl6b
UP00044	Mafk
UP00045	MAFB
UP00048	RARA
UP00051	Sox8
UP00052	Osr2
UP00055	HBP1
UP00056	RFX4
UP00057	ZIC2
UP00058	TCF3
UP00064	Sox18
UP00065	Zfp161
UP00066	HNF4A
UP00069	Sox1
UP00071	Sox21
UP00075	Sox15
UP00078	ARID3A
UP00080	Gata5
UP00081	Mybl1
UP00082	Zfp187
UP00084	Gmeb1
UP00085	Sfpi1
UP00086	IRF3
UP00087	Tcfap2c
UP00088	PLAGL1
UP00091	SOX5
UP00092	MYB
UP00093	Klf7
UP00094	Zfp128
UP00095	Zfp691
UP00096	SOX13
UP00101	Sox12
UP00102	ZIC1
UP00105	POU3F4
UP00107	Nkx2-4
UP00112	Gsc
UP00113	HOXC4
UP00114	Homez
UP00117	Hoxd11
UP00119	Nkx2-9
UP00120	Lbx2
UP00121	Hoxd10
UP00125	PITX2
UP00126	DLX2
UP00128	POU3F2
UP00129	Pou3f1
UP00130	LHX3
UP00132	Evx2
UP00137	Hoxb3
UP00138	Bsx
UP00139	Nkx1-2
UP00140	Hoxd1
UP00144	Hoxb4
UP00145	BARHL2
UP00147	Nkx2-6
UP00148	Hdx
UP00150	IRX6
UP00151	BARX2
UP00152	Arx
UP00155	Hmx2
UP00158	POU1F1
UP00159	SIX2
UP00161	Hmbox1
UP00164	HOXA7
UP00166	BARHL1
UP00168	Hoxd8
UP00169	LMX1B
UP00170	Isl2
UP00175	Lhx9
UP00177	Hoxd12
UP00181	BARX1
UP00182	HOXA6
UP00184	Lhx8
UP00185	PBX1
UP00186	MEIS1
UP00187	ALX4
UP00189	HOXA5
UP00190	NKX2-3
UP00192	SIX1
UP00193	Rhox11
UP00194	IRX4
UP00195	SIX3
UP00196	HOXA4
UP00197	HOXC9
UP00199	SIX4
UP00206	Hoxb7
UP00207	HOXB9
UP00211	Pou3f3
UP00212	LHX5
UP00213	HOXA9
UP00214	HOXB5
UP00215	Vax1
UP00218	Dbx2
UP00221	PHOX2A
UP00223	Irx3
UP00224	PAX6
UP00231	NKX2-2
UP00236	IRX2
UP00237	Otp
UP00238	Nkx6-3
UP00241	HOXD3
UP00242	HOXC8
UP00243	Isx
UP00244	TLX2
UP00248	Pax7
UP00249	NKX2-5
UP00250	IRX5
UP00252	HOXC5
UP00254	POU2F1
UP00259	HOXB6
UP00260	Hoxc6
UP00261	LHX4
UP00262	Lhx1
UP00263	Hoxb8
UP00330	XBP1
UP00388	SIX6
UP00389	NKX3-1
UP00391	HOXA3
UP00401	SOX4
UP00404	ELF2
UP00412	Etv5
UP00413	Elf4
UP00418	Etv6
UP00423	Gm5454
